Giro empresa,Empresa Exportadora,País destino,Producto
LÁCTEOS PASTEURIZADOS ,"CON ALIMENTOS, S.A. DE C.V.",HONDURAS,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"KERRY INGREDIENTS DE MÉXICO, S.A. DE C.V. (SAN JUAN)",HONDURAS,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"KERRY INGREDIENTS DE MÉXICO, S.A. DE C.V. (IRAPUATO)",HONDURAS,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"NESTLÉ MÉXICO, S.A. DE C.V. (COATEPEC)",HONDURAS,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"NESTLÉ MÉXICO, S.A. DE C.V. (QUERÉTARO CARNATION)",HONDURAS,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"NESTLÉ MÉXICO, S.A. DE C.V. (CHIAPA DE CORZO)",HONDURAS,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"SIGMA ALIMENTOS LACTEOS, S.A. DE C.V. (PLANTA LAGOS)",HONDURAS,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,MEAD JOHNSON NUTRICIONALES S. DE R.L. DE C. V. ,HONDURAS,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,PASTEURIZADORA MAULEC. S.A. DE C.V.,HONDURAS,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"SCHREIBER MÉXICO, S.A. DE C.V. (SILAO)",HONDURAS,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"PROLACNI, S.A. DE C.V.",HONDURAS,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,TERBIUM INDUSTRIAL S.A. DE C.V.,HONDURAS,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"COMERCIALIZADORA DE LACTEOS Y DERIVADOS, S.A. DE C.V. (TORREON DERIVADOS)",NICARAGUA ,CONSUMO HUMANO 
